author,statement,source,date,target
Sara Swann,A robot with artificial intelligence “self-terminated” after 15 minutes of manual labor.,Facebook posts,"May 9, 2023",false
Michael McAulliff,"Addressing the impact of the House GOP debt-ceiling bill on veterans’ programs, ""I'm dead serious that we're not cutting veterans, and I mean it.""",Mike Bost,"May 9, 2023",barely-true
Jeff Cercone,"Chelsea Clinton said, “It’s time to force-jab every unvaccinated child in America.”",Instagram posts,"May 9, 2023",false
Ciara O'Rourke,Video shows the “Grim Reaper” appearing at King Charles III’s coronation.,Facebook posts,"May 8, 2023",false
Jeff Cercone,Dropped globe in video shows NASA astronauts filming in TV studio.,Instagram posts,"May 8, 2023",false
Ciara O'Rourke,Video shows a fight breaking out in a U.S. House of Representatives committee hearing.,Facebook posts,"May 8, 2023",false
Samantha Putterman,Photo shows migrants heading to U.S. border in May 2023.,X posts,"May 8, 2023",false
Ciara O'Rourke,Says U.S. Rep. Nancy Pelosi “is guilty of treason.”,Facebook posts,"May 8, 2023",false
Ciara O'Rourke,Photo shows former first lady Michelle Obama as a man.,Viral image,"May 8, 2023",pants-fire
Ciara O'Rourke,Video shows U.S. Rep. Madison Cawthorn receiving an “ovation” after confronting U.S. Rep. Nancy Pelosi.,Facebook posts,"May 8, 2023",false
Samantha Putterman,“mRNA in food is being tested by USDA now.”,Instagram posts,"May 8, 2023",false
Madison Czopek,U.S. Marine Corps arrested a CDC official.,TikTok posts,"May 8, 2023",false
Ciara O'Rourke,"“Michelle Obama’s mother dies, leaves inheritance to ‘My son Michael.’”",Viral image,"May 8, 2023",pants-fire
Jill Terreri,"Fauci, DOD and CDC funded deadly pathogen research at Sudan lab",TikTok posts,"• May 8,",false
Madison Czopek,"“If you need Girl Scout cookies this year and don’t have a local troop to support, please consider buying from Troop 6000, which is entirely made up of girls living in NYC’s homeless shelters.”",Facebook posts,"May 8, 2023",true
Jeff Cercone,"Simulation with fictional virus shows ‘“what they're preparing for us"" in 2025.",Instagram posts,"May 5, 2023",false
Gabrielle Settles,"Video shows Kamala Harris talking nonsensically about today, tomorrow and yesterday.",Facebook posts,"May 5, 2023",pants-fire
Sara Swann,Florida lawmakers danced “after passing anti-trans legislation.”,TikTok posts,"May 5, 2023",barely-true
Loreben Tuquero,NASA's T-minus launch countdown is a mocking reference to Satan.,Instagram posts,"May 5, 2023",pants-fire
Ciara O'Rourke,Walmart stores are being converted to FEMA camps to imprison Americans.,Instagram posts,"May 5, 2023",false
Ciara O'Rourke,Kobe Bryant was killed “as a setup to stop him from testifying.”,Instagram posts,"May 5, 2023",false
Ciara O'Rourke,The phone President Richard Nixon used to talk to the first astronauts on the moon is evidence the 1969 moon landing was faked.,Instagram posts,"May 5, 2023",false
Vanessa Swales,Says Social Security is a “legal Ponzi scheme.”,Ron Johnson,"May 5, 2023",barely-true
Ciara O'Rourke,Video shows U.S. Rep. Doug Collins exploding “with rage after Pelosi admits dirty ‘squad’ plan for Trump impeachment.”,Facebook posts,"May 4, 2023",false
Ciara O'Rourke,Video shows House Speaker Kevin McCarthy calling on Vice President Kamala Harris to “step down.”,Facebook posts,"May 4, 2023",false
Marta Campabadal,Apeel “es una compañía fundada por Bill Gates que utiliza mono y diglicéridos tóxicos para enfermarte”.,Facebook posts,"• May 4,",false
Matthew Crowley,"Gov. Ron DeSantis signed “a last-minute exception into an anti-discrimination law for anyone who also operates a theme park more than 25 acres in Florida,” benefiting Walt Disney Co.",Vivek Ramaswamy,"May 4, 2023",mostly-true
Mary McNaughton,Sen. Tommy Tuberville is preventing military promotions “because he objects to women within the military getting access to reproductive care.”,Charles Schumer,"May 4, 2023",half-true
Amy Sherman,“Texas Republicans just voted to give a Republican appointee the power to single-handedly CANCEL election results in the state’s largest Democratic county.”,Facebook posts,"May 4, 2023",mostly-true
Luiz Romero,Video shows Ukraine was “nuked.”,Facebook posts,"May 4, 2023",false
Paul Specht,Minority Leader Robert Reives “sent out a statement … encouraging us to resign and/or (face) a primary challenge.”,Tricia Cotham,"May 4, 2023",barely-true
Ciara O'Rourke,“Fauci arrested.”,Facebook posts,"May 4, 2023",pants-fire
Ciara O'Rourke,“Babysitter on crystal meth eats 3-month-old toddler.”,Facebook posts,"May 4, 2023",pants-fire
Ciara O'Rourke,Imagen muestra “el doble” del presidente Joe Biden firmando documentos con su mano izquierda.,Facebook posts,"May 4, 2023",pants-fire
Jeff Cercone,"""NASA just announced a 100-foot-wide fissure-crack just opened up Yellowstone volcano in 24 hours.”",Facebook posts,"May 3, 2023",false
Maria Briceño,"En WhatsApp puedes leer todas las conversaciones de tu pareja, “solo tienes que marcar *785# el número de su celular* # y listo”.",Instagram posts,"May 3, 2023",false
Samantha Putterman,"“Putin JUST SHUTDOWN All Oil To The US, Collapsing The US Economy!”",Facebook posts,"May 3, 2023",pants-fire
Ciara O'Rourke,"Emergency stimulus loans “are finally available to U.S. citizens up to $5,000 even with poor credit.”",Facebook posts,"May 3, 2023",false
Ciara O'Rourke,Photo shows President Joe Biden’s “body double” signing documents with his left hand.,Viral image,"May 3, 2023",pants-fire
Madison Czopek,“The flag of Washington’s District of Columbia has three red stars. One for each city state in the three-city empire.”,Facebook posts,"May 3, 2023",pants-fire
Ciara O'Rourke,“Breaking Trump quietly announces Hillary’s prosecution is moving forward.”,Facebook posts,"May 3, 2023",false
Sara Swann,Video shows people collapsing because of COVID-19 vaccines.,Instagram posts,"May 3, 2023",false
Loreben Tuquero,A Minnesota lawmaker introduced a bill that would make it “illegal to discriminate against child rapists.”,X posts,"May 3, 2023",false
Samantha Putterman,"“Buyers with good credit scores will pay even more to cover for those with bad credit.""",Nikki Haley,"May 3, 2023",barely-true
Loreben Tuquero,Former President Barack Obama was arrested after his campaign “took $30 million illegally from Commie China fugitive.”,Facebook posts,"May 3, 2023",false
Tom Kertscher,The World Economic Forum and the United Nations have “ordered world governments to ration people’s water supply.”,TikTok posts,"May 3, 2023",false
Amy Sherman,"A Florida elections bill “guts everything” “instead of getting tough, and doing what the people want (same day voting, Voter ID, proof of Citizenship, paper ballots, hand count, etc.).”",Donald Trump,"May 3, 2023",false
Jeff Cercone,“Anheuser-Busch closing half its U.S. breweries” after Dylan Mulvaney backlash.,Facebook posts,"May 1, 2023",pants-fire
Matthew Crowley,There is “$500 billion of unspent COVID money” that can be rescinded.,Nikki Haley,"May 1, 2023",half-true
Louis Jacobson,“Joe Biden was older on his first day as president than Ronald Reagan was on his last day.”,Jonathan Martin,"May 1, 2023",true
Maria Briceño,“El nuevo WhatsApp de 2023” permite “ver con quién están hablando tus contactos en vivo”.,Facebook posts,"May 1, 2023",false
Jill Terreri,New York Gov. Kathy Hochul wants “quarantine camps” and “imprisonment” if you’re suspected of having a disease.,Facebook posts,"• April 29,",pants-fire
Andy Nguyen,"The ocean is ""flat"" and ""contained"" by land features that jut up from a flat (not spherical) earth.",Facebook posts,"April 28, 2023",false
Jeff Cercone,"""Healthy pilots are suffering from myocarditis and dropping dead on flights” because of the COVID-19 vaccines.",Instagram posts,"April 28, 2023",false
Tom Kertscher,"“Face masks may raise risk of stillbirths, testicular dysfunction and cognitive decline, study warns.”",Instagram posts,"April 28, 2023",barely-true
Sara Swann,“When fentanyl burns it smells like popcorn.”,Facebook posts,"April 28, 2023",false
Loreben Tuquero,"Chick-fil-A “donates another $1.8 million to anti-LGBTQ groups,” backtracking on its promise not to.",Instagram posts,"April 28, 2023",false
Tom Kertscher,"""Oil pulling” improves overall oral health, strengthens gums, helps prevent cavities, whitens teeth and reduces plaque.",Facebook posts,"April 28, 2023",barely-true
Loreben Tuquero,"Chemtrails are being put into the atmosphere and are trickling down into soil and water, becoming “the real cause of disease.”",Facebook posts,"April 27, 2023",pants-fire
Andy Nguyen,"""There is no Biden presidency. The real Biden was executed for his crimes long ago along with Clinton.""",Facebook posts,"April 27, 2023",pants-fire
Gabrielle Settles,Video shows someone impersonating Joe Biden in a mask.,Instagram posts,"April 27, 2023",pants-fire
Maria Briceño,Este video enseña “las primera palabras” de Gustavo Petro junto a Joe Biden.,Facebook posts,"April 27, 2023",false
Maria Briceño,“El CEO de Pfizer es un lagarto (demonio)”.,Instagram posts,"April 27, 2023",pants-fire
Sara Swann,Israel is banning Christianity.,Facebook posts,"April 27, 2023",false
Jeff Cercone,"“1,900 food production companies have been destroyed” as part of conspiracy.",Instagram posts,"April 26, 2023",false
Madison Czopek,BlackRock owns 59 million shares of Dominion Voting Systems and 45.7 million shares of Fox News. BlackRock sued itself and fired Tucker Carlson as part of the lawsuit.,Facebook posts,"April 26, 2023",barely-true
Tom Kertscher,Dr. Anthony Fauci “admits that mask mandates were a broad spectrum failure.”,Instagram posts,"April 26, 2023",false
Samantha Putterman,“The abortion pill has been linked to the deaths of at least 28 women in the U.S. alone.”,Instagram posts,"April 26, 2023",barely-true
Gabrielle Settles,A Pentagon plan and a CDC poster proves that a “zombie apocalypse” is coming.,Facebook posts,"April 26, 2023",pants-fire
Conor Amendola,“Individuals released from incarceration are 129 times more likely to die of a drug overdose during the first two weeks after release.”,Paul Tonko,"April 26, 2023",half-true
Marta Campabadal,"“¡Los préstamos de estímulo de $50,000 finalmente están aquí!”",Facebook posts,"• April 26,",false
Sara Swann,“The Antarctic ice cap is not melting.”,Instagram posts,"April 25, 2023",pants-fire
Loreben Tuquero,Brain aneurysms are a “serious and common COVID-19 mRNA vaccine injury in young people.”,Instagram posts,"April 25, 2023",false
Cameron Carr,“Many law enforcement agencies didn’t submit their (hate crime) data to the FBI.”,Kirsten Gillibrand,"April 25, 2023",true
Gabrielle Settles,People are participating in “National Rape Day’” on April 24.,TikTok posts,"April 24, 2023",false
Jeff Cercone,"""Adam Schiff will be impeached.”",Facebook posts,"April 24, 2023",pants-fire
Jeff Cercone,Bill Gates is coating your organic produce with a “dangerous chemical.”,Instagram posts,"April 24, 2023",false
Aarón Torres,“Fentanyl is the leading cause of death for Americans 18-45.”,Greg Abbott,"April 24, 2023",mostly-true
Gabrielle Settles,"Video shows Nancy Pelosi saying, “I’ve given a shoot-to-kill order for any breach of the speaker’s lobby,” on Jan. 6, 2021.",TikTok posts,"April 21, 2023",pants-fire
Loreben Tuquero,"George Soros is banned in Russia, Pakistan, Turkey, Hungary, Poland and the Philippines.",Facebook posts,"April 21, 2023",barely-true
Jeff Cercone,"""U.N. calls for decriminalizing sex with minors.”",Instagram posts,"April 21, 2023",false
Andy Nguyen,"""Scientists struggle to understand why Antarctica hasn’t warmed for over 70 years despite rise in CO2.""",Instagram posts,"April 21, 2023",false
Maria Briceño,"La Reserva Federal “presentó su nuevo sistema de pagos que va a sustituir al sistema bancario actual"".",Facebook posts,"April 21, 2023",false
Sara Swann,Symbols on Huggies diapers are coded references to pedophilia.,Instagram posts,"April 20, 2023",pants-fire
Marta Campabadal,“Extraterrestres reales de visita”.,Facebook posts,"• April 20,",false
Louis Jacobson,"""In the 1960s, liberals emptied our psych wards.""",Mike Pence,"April 20, 2023",half-true
Jeff Cercone,A video proves that “our own government is acknowledging that they’re spraying the skies” with toxic chemicals.,Facebook posts,"April 20, 2023",false
Grace Abels,Missouri’s attorney general has a website “where people can report trans individuals and the people who help them.”,X posts,"April 20, 2023",mostly-true
Maria Ramirez,Florida has “the second lowest tax burden per capita in the United States.”,Ron DeSantis,"• April 19,",mostly-true
Marta Campabadal,"""Nueva ley de perdón está eliminando hasta $15,000 de deuda para todos los estadounidenses…cualquier categoría aplica"".",Facebook posts,"• April 19,",false
Sara Swann,The RESTRICT Act would allow the U.S. government to “charge you with a felony and $1 million for having a VPN.”,Instagram posts,"April 19, 2023",barely-true
Marta Campabadal,"""La Asociación Nacional de la Deuda ... recientemente aprobó un programa de alivio de la deuda para todos los que tengan más de $10,000 en deuda en tarjetas de crédito"".",Facebook posts,"• April 18,",false
Madison Czopek,“One in 5 Americans has lost a family member to gun violence.”,Kamala Harris,"April 18, 2023",mostly-true
Maria Briceño,Hay “restos de una nave nodriza gigante ocultada por la NASA” en Marte.,Facebook posts,"April 18, 2023",false
Samantha Putterman,Video shows Russian President Vladimir Putin talking in English about U.S. democracy.,Instagram posts,"April 18, 2023",false
D.L. Davis,"""WOW county swing suburban voters (in Wisconsin) don't vote for Donald Trump.”",Paul Ryan,"April 18, 2023",true
Gabrielle Settles,"""They have been preparing for mass extinction with these death caskets"" in Madison, Ga.",Facebook posts,"April 17, 2023",pants-fire
Loreben Tuquero,“34 dead after Lizzo attempted to crowd surf.”,Instagram posts,"April 17, 2023",pants-fire
Loreben Tuquero,"A video shows Sen. John Kennedy, R-La., playing a phone conversation between Rep. Alexandria Ocasio-Cortez, D-N.Y., and Hunter Biden.",Facebook posts,"April 17, 2023",pants-fire
Samantha Putterman,The U.S. Department of Defense awarded a contract for COVID-19 research in Ukraine months before the virus was known.,TikTok posts,"April 17, 2023",false
Ciara O'Rourke,Video shows Kenya’s president saying he will “get rid of U.S. dollar.”,Instagram posts,"April 14, 2023",false
Ciara O'Rourke,"“Congress, White House, IRS, Feds, Federal Reserve are shut down.”",Instagram posts,"April 14, 2023",pants-fire
Louis Jacobson,“Fewer people get hurt playing rugby” than American football.,Joe Biden,"April 14, 2023",barely-true
Ciara O'Rourke,Manhattan District Attorney Alvin Bragg “has been arrested.”,Facebook posts,"April 14, 2023",pants-fire
Ciara O'Rourke,Elon Musk is offering people the opportunity to make $1 million “in 90 days while sleeping in.”,Viral image,"April 14, 2023",false
Jeff Cercone,“In America our own (central bank digital currency) system is going to be launching July 1. It’s called the FedNow payment system.”,TikTok posts,"April 14, 2023",false
Ciara O'Rourke,Video proves John F. Kennedy Jr. is alive.,Viral image,"April 14, 2023",pants-fire
Ciara O'Rourke,Video shows John F. Kennedy Jr. in a “real presidential convoy.”,Facebook posts,"April 14, 2023",pants-fire
Ciara O'Rourke,Cash App founder Bob Lee’s death is connected to FedNow.,Instagram posts,"April 14, 2023",false
Marta Campabadal,“¡Florida emergencia! Huracán Ian golpe directo”.,Facebook posts,"• April 14,",false
Jeff Cercone,A video shows a steamroller destroying Bud Light cases in relation to Anheuser-Busch’s partnership with a trans person.,Instagram posts,"April 14, 2023",false
Maria Briceño,“La NASA advierte que el sol podría dejar de brillar y causar una catástrofe”.,Facebook posts,"April 14, 2023",barely-true
Ciara O'Rourke,The person purporting to be Tiffany Dover is an impostor.,Viral image,"April 14, 2023",pants-fire
Tom Kertscher,HIV is not contagious.,Facebook posts,"April 13, 2023",pants-fire
Marta Campabadal,"""Latino, inmigrante, recién llegado … Si eres inmigrante en Estados Unidos y llevas más de tres meses ahí, podrías calificar para obtener cupones de comida”.",Facebook posts,"• April 13,",barely-true
Samantha Putterman,Abortion pills are dangerous and “1 in 5 women will suffer a complication.”,Alliance Defending Freedom,"April 13, 2023",false
Jeff Cercone,"Lead paint was not banned to protect children’s health, but because it would protect people from radiation.",Facebook posts,"April 13, 2023",false
Grace Abels,New Kansas law will “authorize genital inspections of children in order for kids to play sports.”,X posts,"April 13, 2023",barely-true
Louis Jacobson,Actions of the Tennessee state legislators who protested against gun violence were “at least equivalent” to the actions of the Jan. 6 insurrectionists.,Cameron Sexton,"April 13, 2023",false
Maria Briceño,"El presidente Joe Biden dijo, “estamos quebrados, completamente quebrados. Agarren su dinero del banco, sáquenlo, sáquenlo ya”.",Facebook posts,"April 13, 2023",pants-fire
Ciara O'Rourke,“Nike lost a lawsuit against antisemitism and has to give away gift cards to its customers.”,Facebook posts,"April 12, 2023",false
Ciara O'Rourke,Video shows U.S. Rep. Jim Jordan slapping special counsel Robert Mueller.,Facebook posts,"April 12, 2023",pants-fire
Ciara O'Rourke,Video shows footage of the war in Ukraine.,Facebook posts,"April 12, 2023",false
Ciara O'Rourke,“FEMA camps are open for the upcoming arrests for crimes against humanity.”,Facebook posts,"April 12, 2023",pants-fire
Sara Swann,“Canada just made it illegal to protest against the LGBT!”,Facebook posts,"April 12, 2023",false
Marta Campabadal,“La OTAN ordena apuntar misiles a Rusia y Putin ordena a su ejército invadir Finlandia!”,Facebook posts,"• April 12,",false
Ciara O'Rourke,Video shows Sen. Chris Murphy running away because Sen. Ted Cruz said “just shut your mouth.”,Facebook posts,"April 12, 2023",barely-true
Maria Briceño,“Joe Biden liberará a reos tras visita de Marco Rubio a El Salvador”.,Facebook posts,"April 12, 2023",false
Amy Sherman,"When migrants arrived on Martha’s Vineyard, “They called out the National Guard and deported them within 24 hours.”",Ron DeSantis,"April 11, 2023",false
Ciara O'Rourke,A photo shows Jeffrey Epstein with four boys on a beach.,X posts,"April 11, 2023",false
Louis Jacobson,“The 5 states with the highest gun homicide rates in the nation all have loose gun laws” while “the 5 states with the lowest rates have some of the toughest laws.”,Chris Murphy,"April 11, 2023",half-true
Jeff Cercone,"Video shows ""HAARP gets destroyed” by protesters.",Instagram posts,"April 10, 2023",false
Gabrielle Settles,Elon Musk said a new Tesla feature can scan testicles and use that information “to biometrically unlock and start the car.”,Instagram posts,"April 10, 2023",pants-fire
Sara Swann,“Anheuser-Busch CEO resigns” after Bud Light partners with transgender social media influencer Dylan Mulvaney.,Facebook posts,"April 10, 2023",false
Ciara O'Rourke,“Hillary Clinton indicted.”,Facebook posts,"April 10, 2023",pants-fire
Jill Terreri,Manhattan District Attorney Alvin Bragg “has downgraded over 50% of the felonies to misdemeanors.”,Ron DeSantis,"• April 8,",true
Madison Czopek,U.S. public schools don't teach the Declaration of Independence.,Facebook posts,"April 7, 2023",false
Paul Specht,“North Carolina ranks last in the country in K-12 funding.”,North Carolina state House Democratic Caucus,"April 7, 2023",barely-true
Jeff Cercone,"""Vitamins aren’t FDA approved, but Twinkies are.”",Facebook posts,"April 7, 2023",barely-true
Loreben Tuquero,There have been no new COVID-19 variants since Dr. Anthony Fauci retired.,Instagram posts,"April 7, 2023",false
Grace Abels,“Florida man charged with a hate crime” for defacing pride crosswalk.,X posts,"April 7, 2023",barely-true
Sara Swann,Pouring soda on raw pork will cause parasites to emerge.,Facebook posts,"April 7, 2023",pants-fire
Gabrielle Settles,"A video shows Florida Gov. Ron DeSantis saying, “Now Trump’s been indicted, now the people will have no choice but to accept me as their assigned candidate.”",TikTok posts,"April 7, 2023",pants-fire
Sara Swann,"A doctor tweeted that she doesn’t regret giving the COVID-19 vaccine, “even if it turns out I injected you with actual poison and you only have days to live.”",Instagram posts,"April 6, 2023",pants-fire
Jeff Cercone,"Report proves that COVID-19 vaccines caused 300,000 excess deaths in 2022.",Instagram posts,"April 6, 2023",false
Madison Czopek,“President Trump is officially a political prisoner.”,Tom Fitton,"April 6, 2023",false
Amy Sherman,"Regarding Trump’s January 2021 telephone call with Georgia election officials, “nobody found anything wrong with that perfect call until a book promotion tour many months later.”",Donald Trump,"April 5, 2023",pants-fire
Louis Jacobson,"“In the next two years, we'll spend more on interest on our national debt than we do on the national defense.”",Mike Pence,"April 5, 2023",half-true
Maria Ramirez,"“Title 42 and other Trump-era holdovers are forcing migrants into dangerous, overcrowded conditions in Mexico.”",Joaquin Castro,"• April 5,",mostly-true
Maria Briceño,“La mayor parte” del fentanilo que llega a los puertos de Estados Unidos viene desde Canadá.,Facebook posts,"April 5, 2023",false
Ciara O'Rourke,Video shows a crowd erupting and Hillary Clinton crying during a committee hearing.,Facebook posts,"April 5, 2023",pants-fire
Ciara O'Rourke,Video shows Homeland Security Secretary Alejandro Mayorkas crying after a question from an aide to former President Donald Trump.,Facebook posts,"April 5, 2023",pants-fire
Ciara O'Rourke,A video shows President Joe Biden “getting off plane with little boy dressed like girl.”,Viral image,"April 5, 2023",false
Samantha Putterman,White House Press Secretary Karine Jean-Pierre was involved in a covered-up DUI accident,X posts,"April 5, 2023",pants-fire
Madison Czopek,Video clip shows that protesters in Tennessee “made their way onto the state Capitol floor.”,Laura Ingraham,"April 4, 2023",false
Loreben Tuquero,The FedNow program “is going to replace your paper currency.”,Facebook posts,"April 4, 2023",false
Conor Amendola,Sullivan County “has the highest opioid death rate in all of New York state” yet “it’s the only county in the Hudson Valley not included in the federal High-Intensity Drug Trafficking Area” program.,Charles Schumer,"April 4, 2023",mostly-true
Samantha Putterman,"Joe Biden received a military funeral service Jan. 20, 2021",Facebook posts,"April 4, 2023",pants-fire
Ciara O'Rourke,Videos show former Secretary of State Hillary Clinton discussing a glass dome over Earth.,Instagram posts,"April 4, 2023",pants-fire
Ciara O'Rourke,“Pelosi cries like a kid after Trump’s lawyer proves her client ‘innocence.’”,Facebook posts,"April 4, 2023",false
Ciara O'Rourke,“Brittney Griner’s shocking detention photos leaked online.”,Facebook posts,"April 4, 2023",false
Ciara O'Rourke,"U.S. Rep. Jim Jordan, R-Ohio, “sends Biden straight to jail.”",Facebook posts,"April 4, 2023",pants-fire
Ciara O'Rourke,Former President Donald Trump is actually another man wearing a Trump mask.,Facebook posts,"April 4, 2023",pants-fire
Gabrielle Settles,"Morgan Freeman called out Joe Biden for talking about “ice cream” before commenting on the Nashville, Tennessee, school shooting.",TikTok posts,"April 3, 2023",pants-fire
Marta Campabadal,“Hay un nuevo virus regado en China donde los humanos se convierten en zombis”.,Instagram posts,"• April 3,",false
Amy Sherman,"In the U.S., “you’re not allowed to own a machine gun.”",Joe Biden,"April 3, 2023",barely-true
Loreben Tuquero,"Rep. Alexandria Ocasio-Cortez, D-N.Y., “is now worth $29 million dollars.”",Facebook posts,"April 3, 2023",pants-fire
Yacob Reyes,"Gov. Ron DeSantis sealed ""all beaches"" in Florida.",Donald Trump,"April 3, 2023",barely-true
Amy Sherman,Former President Donald Trump “instructed all the governors to shut down” because of the COVID-19 pandemic.,Jared Moskowitz,"April 3, 2023",half-true
Tom Kertscher,Solar companies “have to give solar panels away for completely no net cost.”,Facebook posts,"April 1, 2023",false
Andy Nguyen,DO Black credit card is part of a government plot to control people’s lives.,Facebook posts,"March 31, 2023",false
Loreben Tuquero,The Nashville shooter was wearing different pairs of shoes before and after being killed.,Social Media,"March 31, 2023",pants-fire
Madison Czopek,“The UK has had ZERO school shootings since” it changed its gun laws after a 1996 school shooting.,Instagram posts,"March 31, 2023",mostly-true
Gabrielle Settles,Video shows Florida Gov. Ron DeSantis saying he made certain political choices because “that’s where the money is.”,Facebook posts,"March 31, 2023",pants-fire
Marta Campabadal,“Enorme ejércitos polacos de 100 mil … entran en la frontera rusa”.,Facebook posts,"• March 31,",false
Loreben Tuquero,Video shows President Joe Biden talking about what “stable Jesus” said about airports.,Instagram posts,"March 30, 2023",false
Aarón Torres,"When discussing education savings accounts, ""We would be 31st in the nation to have these policies going forward on behalf of kids.”",Brandon Creighton,"March 30, 2023",half-true
Madison Czopek,"Photo of person holding sign shows the shooter who killed six people at a Nashville, Tennessee, school.",Facebook posts,"March 30, 2023",false
Louis Jacobson,“We have a national debt the size of our nation’s economy for the first time since World War II.”,Mike Pence,"March 30, 2023",half-true
Tom Kertscher,Images show a great white shark on the beach in North Carolina.,Facebook posts,"March 29, 2023",false
Jeff Cercone,Video shows zombie virus outbreak in China.,Instagram posts,"March 29, 2023",false
Loreben Tuquero,"A photo shows former President Barack Obama’s “old boyfriend,” to whom he paid “hush money.”",Instagram posts,"March 29, 2023",pants-fire
Amy Sherman,“Gun violence is the number one killer of children and teens — it has overtaken cars.”,Ashbey Beasley,"March 29, 2023",mostly-true
Cameron Carr,“Every single county in New York has experienced a federal climate disaster between 2011-2021.”,Rebuild by Design,"March 29, 2023",mostly-true
Marnique O.,“A proposal in Syracuse would pay gang members $100-$200 per week to stay out of trouble.”,William Barclay,"• March 29,",mostly-true
Tom Kertscher,"Climate change is caused by corporations using ""weather modification patents.”",Instagram posts,"March 29, 2023",false
Madeline Heim,"At a Wisconsin school, a 12-year-old girl ""was transitioned into a boy by school officials without parental consent,"" and Protasiewicz supports it.",American Principles Project,"March 29, 2023",pants-fire
Jeff Cercone,Images show “Putin has been arrested.”,Facebook posts,"March 28, 2023",false
Madison Czopek,"“The gay dating app Grindr says if Florida doesn’t stop passing homophobic and transphobic laws, they’ll reveal every Republican legislator and party official who secretly uses the app.”",Instagram posts,"March 28, 2023",false
Samantha Putterman,“Congress has officially banned TikTok.”,X posts,"March 28, 2023",false
Loreben Tuquero,"The Nashville, Tennessee, school shooter was Samantha Hyde.",Facebook posts,"March 28, 2023",pants-fire
D.L. Davis,"The money for upgrades to the Milwaukee Brewers stadium in Evers’ budget is ""a bipartisan plan.""",Tony Evers,"March 28, 2023",barely-true
Tom Kertscher,“Trump just shared a bombshell letter from Stormy Daniels debunking DA Bragg's case.”,Facebook posts,"March 27, 2023",false
Loreben Tuquero,Manhattan District Attorney Alvin Bragg announced that his office “has decided to drop all charges against Donald Trump.”,TikTok posts,"March 27, 2023",pants-fire
Jeff Cercone,Photo shows Pennsylvania Sen. John Fetterman has a body double.,Facebook posts,"March 27, 2023",pants-fire
Madison Czopek,"“At a top robotics company in Japan this week, four robots being developed for military applications killed 29 humans in the lab.”",Facebook posts,"March 27, 2023",false
Laura Schulte,"As a sitting Supreme Court justice, Daniel Kelly recused himself from a case, then “he pocketed $20,000 in contributions” from the plaintiff and family members and “unrecused himself so he could judge the case.”",Janet Protasiewicz,"March 24, 2023",half-true
Maria Ramirez,"Violent crime in Manhattan is ""now at a record level.""",Donald Trump,"• March 24,",false
Loreben Tuquero,“No one got (a) dime” from the $70 million raised for the Florida Disaster Fund.,X posts,"March 24, 2023",false
Warren Fiske,On red flag laws.,Glen Sturtevant,"March 24, 2023",full-flop
Madison Czopek,Silicon Valley Bank “donated $73M to 'BLM Movement'”,Facebook posts,"March 22, 2023",false
Gabrielle Settles,Video shows Elon Musk saying he bought Twitter and unblocked Andrew Tate’s Twitter account because “we need to escape the suppression from the matrix and expose the global elites.”,Facebook posts,"March 22, 2023",pants-fire
Loreben Tuquero,“You can get vaccinated by sleeping with somebody who is already jabbed” with an mRNA vaccine. “It’s called shedding.”,Instagram posts,"March 22, 2023",false
Ciara O'Rourke,Charles Darwin predicted a sub-species of humans “will deny biology” and “attempt to undo the centuries of human development by rewriting history.”,Viral image,"March 22, 2023",false
Matthew Crowley,“We cut Black child poverty in half in 2021 because of the child tax credit.”,Joe Biden,"March 22, 2023",mostly-true
Ciara O'Rourke,TV host “Dr. Phil” endorsed a “2023 seniors benefits program.”,Facebook posts,"March 22, 2023",false
Ciara O'Rourke,Former President Donald Trump said “any indictment of me is an indictment of you.”,Viral image,"March 22, 2023",false
Ciara O'Rourke,Video shows “Trump supporters lining up on Fifth Ave in Manhattan on Sunday.”,Facebook posts,"March 22, 2023",false
Ciara O'Rourke,Former President Donald Trump is the “current sitting” commander in chief.,Facebook posts,"March 21, 2023",pants-fire
Ciara O'Rourke,Former President Donald Trump issued a statement threatening to leak “interesting videos” of House Speaker Kevin McCarthy.,Viral image,"March 21, 2023",false
Ciara O'Rourke,Joe Biden was the first president in 100 years to unsuccessfully sing the alphabet song.,Instagram posts,"March 21, 2023",pants-fire
Ciara O'Rourke,Elon Musk tweeted he would “buy Joint Commission and let nurses have drinks at their station.”,Viral image,"March 20, 2023",false
Ciara O'Rourke,Photo shows Magic Johnson donating blood “to help underprivileged communities help fight COVID-19.”,Viral image,"March 20, 2023",false
Ciara O'Rourke,"Former President Donald Trump tweeted, “The storm is upon us.”",Viral image,"March 20, 2023",false
Ciara O'Rourke,Angelina Jolie is dead.,Bloggers,"March 20, 2023",pants-fire
Gabrielle Settles,Says President Joe Biden was recorded talking about bank collapse.,TikTok posts,"March 20, 2023",pants-fire
Samantha Putterman,“BREAKING: ANTHONY FAUCI is set to be arrested!!!”,Instagram posts,"March 20, 2023",pants-fire
Ciara O'Rourke,Photo shows former President Donald Trump detained by police.,X posts,"March 20, 2023",false
Louis Jacobson,"""Half the kids in this country, when they graduate, can’t read their diploma.”",Tommy Tuberville,"March 20, 2023",barely-true
Aarón Torres,"""Businesses large and small have led Texas to be ranked the number one state for business every year that I’ve been governor.""",Greg Abbott,"March 20, 2023",half-true
